time, concentration
3600.1, 2.9537828592053618e-08
7200.1, 1.1821541795312635e-05
10800.1, 0.00026274600846654377
14400.1, 0.001922715072699986
18000.1, 0.0037878444219493178
21600.1, 0.004897763541927799
25200.1, 0.005260073590814688
28800.1, 0.005833186912195868
32400.1, 0.005916182391767292
36000.1, 0.005463267017367351
39600.1, 0.005621627401656738
43200.1, 0.005181112242098702
46800.1, 0.0046517153548420054
50400.1, 0.004524563601029577
54000.1, 0.004866870913343232
57600.1, 0.005169319662225942
